ID_APARTAMENTO,AMOBLADO,CAPACIDAD_APTO,PRECIO_APTO,ID_PERSONA,ID_OFERTA,INCLUYE_SERVICIOS
124,F,16,900000,16386,68737,F
125,F,14,420000,16388,92768,F
126,T,16,916000,16390,43327,F
127,T,15,364000,16392,62043,T
128,T,12,851000,16394,25482,T
129,F,14,205000,16395,38742,T
130,F,10,368000,16396,76604,F
131,F,11,805000,16397,96055,F
132,F,10,121000,16398,61972,F
133,F,13,807000,16399,91958,T
134,F,14,530000,16401,72130,F
135,F,11,593000,16403,51291,T
136,F,13,923000,16404,88941,F
137,F,13,626000,16407,25100,T
138,T,16,63000,16408,27111,F
139,F,12,852000,16410,9960,F
140,F,14,360000,16411,45721,T
141,F,14,620000,16414,8783,T
142,F,12,456000,16415,57381,F
143,F,11,282000,16421,54431,F
144,T,11,757000,16424,95949,F
145,T,11,314000,16426,40278,T
146,T,16,813000,16430,50151,T
147,F,14,249000,16434,2358,T
148,F,18,180000,16435,47827,F
149,T,14,344000,16438,93310,T
150,T,14,550000,16439,54846,T
151,T,15,256000,16441,58138,T
152,F,15,500000,16443,59582,T
153,T,10,345000,16444,59357,T
154,F,17,57000,16445,15445,T
155,F,10,847000,16447,86445,T
156,F,17,212000,16452,85806,T
157,T,13,546000,16454,78301,T
158,F,14,833000,16457,75908,F
159,T,11,479000,16458,93486,F
160,F,16,516000,16459,47327,F
161,F,15,956000,16463,71684,T
162,F,12,415000,16464,65910,F
163,T,10,209000,16465,93214,T
164,T,12,336000,16466,14142,T
165,F,10,573000,16468,3678,T
166,T,17,460000,16469,79427,F
167,F,17,354000,16471,83818,F
168,T,13,383000,16474,22472,T
169,F,14,316000,16475,34765,F
170,F,17,820000,16476,64144,F
171,T,15,792000,16478,92580,T
172,F,14,226000,16479,32279,F
173,T,16,485000,16480,95340,F
174,T,16,795000,16482,99524,T
175,F,18,947000,16485,97547,T
176,T,12,52000,16486,80817,F
177,T,17,180000,16488,48969,F
178,T,18,915000,16491,42615,T
179,T,13,950000,16492,27831,F
180,F,18,422000,16493,90078,T
181,T,11,197000,16495,11059,T
182,F,17,616000,16496,50491,F
183,T,10,590000,16498,77748,F
184,T,15,940000,16502,55103,F
185,T,13,102000,16503,35499,T
186,T,15,890000,16506,1049,F
187,F,18,129000,16508,35150,T
188,T,12,913000,16514,19242,T
189,T,14,190000,16518,6873,F
190,T,16,759000,16522,27894,T
191,F,16,557000,16523,72840,T
192,T,14,569000,16526,81482,F
193,T,15,471000,16527,89447,F
194,T,13,742000,16530,91054,T
195,T,16,926000,16531,51385,F
196,T,15,88000,16533,31217,T
197,F,18,308000,16534,79619,T
198,T,10,138000,16535,86492,T
199,T,18,399000,16537,34576,T
200,T,18,332000,16540,87109,T
201,F,17,794000,16543,9217,F
202,F,16,300000,16545,65202,F
203,F,18,362000,16547,4133,T
204,T,14,222000,16549,11443,T
205,T,12,983000,16550,97629,F
206,T,12,659000,16553,86846,T
207,F,13,151000,16554,16471,T
208,T,12,982000,16555,25603,T
209,T,18,165000,16557,36481,T
210,T,11,186000,16558,15339,T
211,F,13,172000,16562,15392,F
212,T,16,947000,16564,45982,T
213,T,12,199000,16565,95591,T
214,T,16,44000,16566,50751,F
215,F,14,28000,16569,89813,T
216,F,18,633000,16570,60274,F
217,T,11,437000,16571,78815,F
218,T,17,178000,16573,15708,T
219,T,15,691000,16578,11629,F
220,F,11,165000,16579,2663,T
221,T,11,405000,16580,23535,T
222,T,11,313000,16581,99314,T
223,T,17,318000,16583,57687,F
224,T,15,30000,16586,71546,T
225,F,16,667000,16587,11977,F
226,T,12,102000,16589,90790,F
227,F,14,574000,16591,97109,F
228,F,17,332000,16592,93198,F
229,F,12,423000,16593,88198,F
230,T,14,420000,16596,32622,F
231,T,13,38000,16597,62371,T
232,T,17,107000,16598,20533,F
233,T,14,43000,16599,66820,T
234,F,17,248000,16606,66769,F
235,T,15,335000,16607,78014,T
236,F,16,878000,16611,50963,T
237,F,14,838000,16613,94769,F
238,T,16,732000,16618,75170,F
239,F,11,769000,16623,16409,T
240,F,15,636000,16624,68417,F
241,T,16,117000,16625,8286,F
242,T,18,905000,16626,33167,T
243,T,13,36000,16627,72531,T
244,F,13,428000,16630,1767,T
245,T,16,742000,16631,92667,T
246,F,13,60000,16632,31804,F
247,T,11,685000,16637,48081,T
248,F,14,92000,16638,92889,T
249,F,10,501000,16641,11300,T
250,F,11,905000,16645,82101,F
251,F,14,520000,16648,74997,T
252,T,17,834000,16655,58243,T
253,T,15,662000,16656,45200,F
254,F,16,263000,16657,56725,F
255,F,14,364000,16661,18958,T
256,F,18,277000,16662,84214,F
257,T,12,730000,16666,23974,T
258,F,17,207000,16668,30987,T
259,F,16,556000,16673,60685,T
260,F,12,2000,16675,79780,T
261,T,15,199000,16677,64721,F
262,T,12,667000,16679,75423,T
263,F,11,749000,16680,35023,T
264,F,14,716000,16682,73691,F
265,F,13,812000,16683,30124,T
266,F,14,615000,16684,51023,T
267,T,11,741000,16687,94940,F
268,F,10,814000,16689,31783,T
269,T,10,556000,16695,96533,F
270,F,14,973000,312,97310,T
271,T,12,575000,313,9028,F
272,T,10,262000,16697,51309,F
273,F,15,168000,16698,85456,T
274,T,12,771000,314,56795,F
275,T,10,406000,16699,37398,T
276,F,15,362000,16700,65071,F
277,T,11,103000,16702,19545,T
278,F,15,911000,318,48053,T
279,F,10,519000,16703,32790,T
280,T,16,773000,319,91980,T
281,T,13,756000,320,93019,F
282,F,18,836000,16709,18227,F
283,T,17,246000,16710,14346,T
284,F,17,740000,16711,77109,F
285,F,10,305000,327,7454,F
286,T,11,287000,16712,65773,T
287,T,17,765000,16713,65489,T
288,T,17,601000,330,85510,F
289,T,15,157000,331,66267,T
290,T,13,404000,16716,15542,T
291,F,17,95000,334,28227,T
292,F,18,920000,16719,52094,T
293,F,16,401000,16720,61343,F
294,F,11,324000,336,43730,T
295,T,16,390000,16722,31419,T
296,F,10,594000,16724,16950,T
297,T,18,867000,16726,53038,T
298,F,16,61000,343,51113,T
299,F,15,496000,16727,89295,T
300,F,10,979000,16729,8814,F
301,T,18,479000,16730,1826,T
302,F,15,426000,16731,34820,F
303,T,17,347000,347,95498,T
304,F,18,942000,348,33742,F
305,T,11,391000,350,2608,F
306,F,14,3000,16735,99945,T
307,T,10,799000,352,48691,T
308,F,13,565000,16739,54324,T
309,F,12,238000,355,72893,T
310,T,10,919000,16741,81450,T
311,F,12,308000,16742,41277,F
312,F,10,91000,358,75106,T
313,T,10,627000,359,6675,T
314,T,11,444000,16744,74447,F
315,F,13,187000,360,83993,F
316,T,11,220000,361,21520,T
317,F,16,639000,362,87293,T
318,T,17,535000,364,82124,T
319,T,10,300000,16749,11310,T
320,T,12,264000,366,52026,T
321,T,15,568000,367,70585,F
322,T,18,971000,16752,39393,T
323,F,18,621000,370,54456,T
324,T,17,319000,16757,94481,F
325,T,15,88000,374,97698,T
326,T,18,102000,16759,44526,F
327,F,15,811000,16761,16211,F
328,F,11,207000,378,86605,F
329,F,11,483000,379,42250,T
330,F,16,884000,16763,87150,F
331,F,10,193000,16768,73295,F
332,F,15,542000,385,35753,F
333,F,18,355000,386,98250,F
334,T,14,488000,16770,67599,F
335,T,15,586000,16771,42633,T
336,F,13,285000,16774,61744,F
337,T,14,731000,16776,92466,T
338,F,16,520000,16779,13238,F
339,F,11,180000,396,98388,T
340,F,17,841000,400,65726,F
341,F,11,888000,16784,73579,T
342,F,16,540000,401,89745,T
343,F,14,687000,16785,96661,T
344,T,17,86000,16786,63650,T
345,T,10,69000,402,59190,T
346,F,16,424000,16787,20824,T
347,T,14,207000,405,35807,T
348,T,11,475000,16789,72937,F
349,F,14,220000,16790,66885,T
350,F,11,905000,16791,99530,F
351,T,18,76000,407,99375,T
352,F,10,399000,16792,66617,T
353,T,15,403000,16793,92557,F
354,T,18,454000,16794,2086,T
355,T,15,287000,410,84496,T
356,F,11,211000,411,52590,F
357,T,14,903000,412,59369,T
358,F,17,358000,413,91255,T
359,T,11,740000,16797,60536,T
360,F,15,853000,416,67530,T
361,T,12,454000,16800,44281,T
362,T,18,18000,419,51509,T
363,T,14,650000,16805,83130,F
364,F,16,238000,16806,71074,T
365,F,15,713000,16807,80069,T
366,F,16,490000,16809,89698,T
367,T,16,178000,16811,20359,F
368,F,12,736000,427,89633,T
369,F,15,335000,428,32879,F
370,F,12,4000,16813,68655,T
371,T,17,386000,430,55955,T
372,T,11,396000,16814,57554,F
373,T,11,25000,434,77420,F
374,T,12,26000,16819,20864,F
375,F,14,499000,16820,10513,T
376,F,18,74000,436,84269,T
377,T,17,545000,16821,65818,T
378,F,16,428000,437,81319,T
379,T,10,239000,439,53530,F
380,T,15,31000,441,98688,F
381,T,13,550000,443,16641,F
382,F,18,655000,445,85563,F
383,T,10,328000,16830,78588,F
384,T,10,28000,16831,11084,T
385,T,12,930000,447,66902,F
386,F,16,296000,448,21509,F
387,F,11,117000,16832,62484,T
388,F,18,577000,16833,5081,F
389,T,15,648000,449,26612,T
390,T,15,639000,16835,51812,F
391,F,13,722000,452,44567,T
392,F,18,662000,16836,45833,T
393,F,15,543000,454,87806,T
394,F,12,878000,16839,83379,F
395,F,12,509000,461,24627,T
396,T,15,301000,462,7545,F
397,F,11,791000,16847,71701,T
