ID_OFERTA,NUM_RESERVAS,ID_HOSTAL,ID_HOTEL,ID_VIVIENDAU,ID_PERSONA,VIGENTE
104,0,,10060,,,F
105,0,,10054,,,T
106,0,,,10344,,F
107,0,,,,20161,F
108,0,45389,,,,F
109,0,,10001,,,F
110,0,45413,,,,F
111,0,45405,,,,F
112,0,45410,,,,F
113,0,45375,,,,F
114,0,,10024,,,F
115,0,,10050,,,F
116,0,,10042,,,F
117,0,,,,20146,F
118,0,45416,,,,F
119,0,45366,,,,T
120,0,45413,,,,T
121,0,45382,,,,T
122,0,45406,,,,F
123,0,,10024,,,T
124,0,45389,,,,F
125,0,45363,,,,F
126,0,45407,,,,F
127,0,,10051,,,T
128,0,45412,,,,F
129,0,45407,,,,T
130,0,45374,,,,T
131,0,,10047,,,F
132,0,,10052,,,T
133,0,,,10047,,T
134,0,,10009,,,T
135,0,45413,,,,T
136,0,,,10048,,T
137,0,,,10315,,T
138,0,,,,20045,T
139,0,45379,,,,F
140,0,,,10301,,F
141,0,45412,,,,F
142,0,,10043,,,F
143,0,,,10050,,T
144,0,45365,,,,T
145,0,45344,,,,F
146,0,,,10004,,F
147,0,45407,,,,T
148,0,,,,20077,T
149,0,45361,,,,F
150,0,,,,20059,T
151,0,,10053,,,T
152,0,,10041,,,T
153,0,,10002,,,T
154,0,,10031,,,F
155,0,,,,20212,T
156,0,45374,,,,T
157,0,45412,,,,T
158,0,,10033,,,T
159,0,45394,,,,F
160,0,45403,,,,T
161,0,45373,,,,T
162,0,45344,,,,F
163,0,45399,,,,T
164,0,,,,20068,F
165,0,,,,20196,F
166,0,,10053,,,T
167,0,,10037,,,T
168,0,45402,,,,F
169,0,45422,,,,T
170,0,45391,,,,F
171,0,,,10156,,T
172,0,,,,20182,F
173,0,45381,,,,F
174,0,45410,,,,T
175,0,45355,,,,F
176,0,,10003,,,T
177,0,45408,,,,F
178,0,,,10332,,F
179,0,,,,20289,F
180,0,,10008,,,T
181,0,,10042,,,T
182,0,,10034,,,F
183,0,,10005,,,F
184,0,45391,,,,F
185,0,,10024,,,T
186,0,45404,,,,T
187,0,,10011,,,T
188,0,,10004,,,F
189,0,45417,,,,F
190,0,45381,,,,T
191,0,,10030,,,T
192,0,,,,20132,T
193,0,45365,,,,T
194,0,45360,,,,F
195,0,45408,,,,T
196,0,,,,20265,F
197,0,,,,20198,F
198,0,,,10116,,T
199,0,,,,20135,F
200,0,45399,,,,F
201,0,,,,20050,F
202,0,,10033,,,T
203,0,45410,,,,T
204,0,,,,20190,F
205,0,,10057,,,F
206,0,45408,,,,T
207,0,,10026,,,T
208,0,,10016,,,T
209,0,,10058,,,T
210,0,,10005,,,F
211,0,45375,,,,F
212,0,45397,,,,T
213,0,45392,,,,F
214,0,,,10185,,F
215,0,45369,,,,F
216,0,,,10281,,T
217,0,45348,,,,F
218,0,45371,,,,F
219,0,,,,20113,T
220,0,,10050,,,T
221,0,45366,,,,F
222,0,45410,,,,T
223,0,45382,,,,T
224,0,45382,,,,T
225,0,45404,,,,T
226,0,45361,,,,T
227,0,,10059,,,F
228,0,45419,,,,T
229,0,,,10298,,T
230,0,45416,,,,F
231,0,45349,,,,T
232,0,45412,,,,T
233,0,45362,,,,F
234,0,45359,,,,T
235,0,45353,,,,F
236,0,,,,20280,T
237,0,,10046,,,T
238,0,,10035,,,T
239,0,45402,,,,F
240,0,,10049,,,F
241,0,,10034,,,T
242,0,,,,20043,F
243,0,,,10362,,T
244,0,45366,,,,T
245,0,45368,,,,F
246,0,45405,,,,F
247,0,,10028,,,F
248,0,45345,,,,F
249,0,45369,,,,F
250,0,45392,,,,F
251,0,45402,,,,F
252,0,45411,,,,T
253,0,,10002,,,T
254,0,45378,,,,F
255,0,45385,,,,T
256,0,45411,,,,F
257,0,45349,,,,T
258,0,45354,,,,F
259,0,45392,,,,F
260,0,45395,,,,F
261,0,,10007,,,T
262,0,,10045,,,F
263,0,,10056,,,F
264,0,45380,,,,T
265,0,,10021,,,F
266,0,,,,20140,T
267,0,45368,,,,T
268,0,45353,,,,T
269,0,45386,,,,T
270,0,45359,,,,F
271,0,,10058,,,F
272,0,,,10062,,F
273,0,,10038,,,F
274,0,,10046,,,T
275,0,,10003,,,T
276,0,45357,,,,F
277,0,,10056,,,T
278,0,45352,,,,F
279,0,,10041,,,T
280,0,,,10064,,F
281,0,45343,,,,F
282,0,,10015,,,F
283,0,,10025,,,T
284,0,,10014,,,T
285,0,45368,,,,T
286,0,,,10137,,F
287,0,45362,,,,F
288,0,45422,,,,T
289,0,45397,,,,T
290,0,45420,,,,F
291,0,45376,,,,T
292,0,,10022,,,F
293,0,45391,,,,T
294,0,45407,,,,T
295,0,,,,20113,F
296,0,45373,,,,F
297,0,,,10021,,T
298,0,,,,20068,T
299,0,,,10244,,T
300,0,45354,,,,F
301,0,45386,,,,F
302,0,,10007,,,F
303,0,,10007,,,F
304,0,,10045,,,T
305,0,,10054,,,T
306,0,45409,,,,F
307,0,,10003,,,F
308,0,,,10280,,F
309,0,,10010,,,F
310,0,45420,,,,F
311,0,,10047,,,T
312,0,,,,20206,T
313,0,45419,,,,F
314,0,45368,,,,T
315,0,45378,,,,T
316,0,,10025,,,T
317,0,,10029,,,T
318,0,,10004,,,T
319,0,,,,20056,T
320,0,45388,,,,T
321,0,,,10089,,F
322,0,,,10283,,F
323,0,45379,,,,F
324,0,45405,,,,T
325,0,,,10094,,F
326,0,45393,,,,F
327,0,45422,,,,F
328,0,45362,,,,F
329,0,,10059,,,T
330,0,45422,,,,T
331,0,45381,,,,F
332,0,45391,,,,T
333,0,,10010,,,F
334,0,,10046,,,F
335,0,45357,,,,F
