ID_VIVIENDA,CARACTERISTICAS_SEGURO,CARACTERISTICAS_VIVIENDA,PRECIO_VIVIENDA,ID_VECINO,CAPACIDAD,UBICACION,TIEMPO_USO,
312,COVERTURA PARCIAL,VISTA A LA MONTAÑA,634834,312,6,ESTE,33,
313,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,524298,313,6,SUR,11,
314,COVERTURA TOTAL,VISTA A LA MONTAÑA,419398,314,14,OESTE,12,
315,COVERTURA TOTAL,VISTA A LA MONTAÑA,224148,315,16,OESTE,21,
316,COVERTURA PARCIAL,GRANDE,345719,316,10,NORTE,34,
317,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,699174,317,1,ESTE,46,
318,COVERTURA TOTAL,VISTA A LA MONTAÑA,673701,318,4,SUR,19,
319,COVERTURA TOTAL,ESPACIOS AMPLIOS,547973,319,8,ESTE,37,
320,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,515192,320,7,OESTE,5,
321,COVERTURA PARCIAL,ACABADOS EN MADERA,361739,321,8,OESTE,39,
322,COVERTURA TOTAL,ACABADOS EN MADERA,298616,322,6,NORTE,23,
323,COVERTURA PARCIAL,GRANDE,261318,323,6,ESTE,1,
324,COVERTURA PARCIAL,VISTA A LA MONTAÑA,514618,324,4,ESTE,28,
325,COVERTURA PARCIAL,VISTA A LA MONTAÑA,419500,325,2,OESTE,36,
326,COVERTURA TOTAL,ACABADOS EN MADERA,559983,326,15,ESTE,7,
327,COVERTURA PARCIAL,COLONIAL,504101,327,7,OESTE,30,
328,COVERTURA TOTAL,GRANDE,251621,328,15,SUR,2,
329,COVERTURA PARCIAL,ACABADOS EN MADERA,562377,329,10,OESTE,13,
330,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,490846,330,10,SUR,35,
331,COVERTURA PARCIAL,VISTA A LA MONTAÑA,138434,331,8,SUR,43,
332,COVERTURA TOTAL,ESPACIOS AMPLIOS,214099,332,14,SUR,34,
333,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,395902,333,8,SUR,37,
334,COVERTURA TOTAL,VISTA A LA MONTAÑA,392896,334,16,OESTE,47,
335,COVERTURA PARCIAL,ACABADOS EN MADERA,415329,335,13,OESTE,20,
336,COVERTURA PARCIAL,VISTA A LA MONTAÑA,120414,336,14,NORTE,38,
337,COVERTURA TOTAL,COLONIAL,358877,337,7,ESTE,5,
338,COVERTURA TOTAL,ACABADOS EN MADERA,413714,338,5,SUR,10,
339,COVERTURA PARCIAL,VISTA A LA MONTAÑA,466015,339,16,NORTE,29,
340,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,449357,340,15,ESTE,3,
341,COVERTURA TOTAL,ESPACIOS AMPLIOS,138237,341,13,NORTE,45,
342,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,176209,342,11,ESTE,26,
343,COVERTURA TOTAL,ACABADOS EN MADERA,222223,343,10,ESTE,8,
344,COVERTURA TOTAL,GRANDE,620643,344,13,ESTE,48,
345,COVERTURA PARCIAL,VISTA A LA MONTAÑA,177631,345,9,SUR,19,
346,COVERTURA PARCIAL,VISTA A LA MONTAÑA,655065,346,6,NORTE,20,
347,COVERTURA PARCIAL,VISTA A LA MONTAÑA,409510,347,12,OESTE,1,
348,COVERTURA PARCIAL,VISTA A LA MONTAÑA,105100,348,14,OESTE,22,
349,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,658030,349,4,NORTE,1,
350,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,320930,350,13,NORTE,38,
351,COVERTURA TOTAL,VISTA A LA MONTAÑA,306202,351,13,NORTE,37,
352,COVERTURA TOTAL,GRANDE,151276,352,3,ESTE,25,
353,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,558189,353,3,ESTE,6,
354,COVERTURA PARCIAL,ACABADOS EN MADERA,303711,354,6,ESTE,6,
355,COVERTURA PARCIAL,VISTA A LA MONTAÑA,677585,355,10,ESTE,9,
356,COVERTURA PARCIAL,VISTA A LA MONTAÑA,653518,356,9,ESTE,16,
357,COVERTURA PARCIAL,ACABADOS EN MADERA,547445,357,16,OESTE,12,
358,COVERTURA PARCIAL,GRANDE,188285,358,2,ESTE,31,
359,COVERTURA PARCIAL,GRANDE,372221,359,7,NORTE,29,
360,COVERTURA PARCIAL,ACABADOS EN MADERA,179183,360,2,ESTE,37,
361,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,559140,361,7,ESTE,47,
362,COVERTURA PARCIAL,COLONIAL,266174,362,6,NORTE,29,
363,COVERTURA PARCIAL,COLONIAL,698125,363,2,SUR,1,
364,COVERTURA TOTAL,COLONIAL,194669,364,2,NORTE,26,
365,COVERTURA TOTAL,GRANDE,524314,365,10,NORTE,48,
366,COVERTURA PARCIAL,ESPACIOS AMPLIOS,656888,366,15,SUR,20,
367,COVERTURA TOTAL,ESPACIOS AMPLIOS,258758,367,2,OESTE,3,
368,COVERTURA TOTAL,GRANDE,141143,368,5,OESTE,25,
369,COVERTURA TOTAL,ESPACIOS AMPLIOS,193445,369,8,SUR,20,
370,COVERTURA PARCIAL,ESPACIOS AMPLIOS,316854,370,12,OESTE,12,
371,COVERTURA TOTAL,ACABADOS EN MADERA,538873,371,8,SUR,9,
372,COVERTURA TOTAL,ESPACIOS AMPLIOS,678874,372,13,NORTE,6,
373,COVERTURA TOTAL,VISTA A LA MONTAÑA,600837,373,11,OESTE,37,
374,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,273522,374,16,SUR,17,
375,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,522453,375,3,ESTE,3,
376,COVERTURA PARCIAL,COLONIAL,579021,376,15,OESTE,28,
377,COVERTURA TOTAL,ACABADOS EN MADERA,559378,377,17,SUR,38,
378,COVERTURA TOTAL,VISTA A LA MONTAÑA,670453,378,15,OESTE,39,
379,COVERTURA PARCIAL,VISTA A LA MONTAÑA,128228,379,10,NORTE,23,
380,COVERTURA PARCIAL,VISTA A LA MONTAÑA,119778,380,2,NORTE,50,
381,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,357378,381,2,SUR,16,
382,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,363284,382,15,OESTE,45,
383,COVERTURA PARCIAL,COLONIAL,423068,383,7,OESTE,4,
384,COVERTURA PARCIAL,ACABADOS EN MADERA,223218,384,16,SUR,47,
385,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,134159,385,17,NORTE,7,
386,COVERTURA TOTAL,VISTA A LA MONTAÑA,352143,386,1,ESTE,41,
387,COVERTURA PARCIAL,COLONIAL,594003,387,3,NORTE,7,
388,COVERTURA PARCIAL,COLONIAL,674475,388,5,OESTE,15,
389,COVERTURA PARCIAL,VISTA A LA MONTAÑA,653566,389,13,SUR,28,
390,COVERTURA PARCIAL,GRANDE,550672,390,13,SUR,35,
391,COVERTURA PARCIAL,VISTA A LA MONTAÑA,461661,391,3,OESTE,29,
392,COVERTURA TOTAL,VISTA A LA MONTAÑA,497953,392,17,ESTE,22,
393,COVERTURA PARCIAL,VISTA A LA MONTAÑA,568386,393,8,OESTE,29,
394,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,490117,394,17,OESTE,33,
395,COVERTURA PARCIAL,ACABADOS EN MADERA,534970,395,6,OESTE,47,
396,COVERTURA TOTAL,ESPACIOS AMPLIOS,292087,396,8,SUR,11,
397,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,322056,397,6,ESTE,20,
398,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,523235,398,4,SUR,43,
399,COVERTURA PARCIAL,GRANDE,241903,399,18,SUR,25,
400,COVERTURA TOTAL,ACABADOS EN MADERA,287472,400,16,NORTE,34,
401,COVERTURA PARCIAL,GRANDE,159316,401,5,SUR,49,
402,COVERTURA PARCIAL,GRANDE,153344,402,9,OESTE,45,
403,COVERTURA TOTAL,ESPACIOS AMPLIOS,642943,403,3,NORTE,18,
404,COVERTURA TOTAL,COLONIAL,504222,404,9,ESTE,8,
405,COVERTURA PARCIAL,VISTA A LA MONTAÑA,694609,405,6,OESTE,11,
406,COVERTURA TOTAL,COLONIAL,291349,406,11,SUR,26,
407,COVERTURA PARCIAL,COLONIAL,684730,407,1,SUR,18,
408,COVERTURA TOTAL,GRANDE,688238,408,14,SUR,14,
409,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,235759,409,5,ESTE,31,
410,COVERTURA PARCIAL,VISTA A LA MONTAÑA,508566,410,14,ESTE,3,
411,COVERTURA PARCIAL,GRANDE,521339,411,3,OESTE,13,
412,COVERTURA PARCIAL,COLONIAL,693974,412,14,NORTE,2,
413,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,425197,413,5,NORTE,19,
414,COVERTURA PARCIAL,VISTA A LA MONTAÑA,538294,414,6,OESTE,43,
415,COVERTURA TOTAL,COLONIAL,198647,415,8,NORTE,30,
416,COVERTURA TOTAL,GRANDE,325669,416,18,SUR,39,
417,COVERTURA TOTAL,ACABADOS EN MADERA,300287,417,1,SUR,31,
418,COVERTURA TOTAL,ACABADOS EN MADERA,674626,418,5,SUR,45,
419,COVERTURA PARCIAL,ESPACIOS AMPLIOS,111672,419,3,ESTE,12,
420,COVERTURA TOTAL,COLONIAL,180333,420,7,SUR,7,
421,COVERTURA TOTAL,ESPACIOS AMPLIOS,381713,421,3,OESTE,31,
422,COVERTURA TOTAL,COLONIAL,397089,422,14,NORTE,22,
423,COVERTURA TOTAL,ESPACIOS AMPLIOS,256050,423,15,ESTE,19,
424,COVERTURA PARCIAL,VISTA A LA MONTAÑA,376535,424,6,NORTE,20,
425,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,559409,425,13,ESTE,14,
426,COVERTURA PARCIAL,COLONIAL,353327,426,17,ESTE,45,
427,COVERTURA PARCIAL,COLONIAL,595061,427,5,OESTE,6,
428,COVERTURA TOTAL,GRANDE,305420,428,10,SUR,44,
429,COVERTURA PARCIAL,GRANDE,449556,429,4,ESTE,50,
430,COVERTURA PARCIAL,ESPACIOS AMPLIOS,247676,430,4,ESTE,17,
431,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,280136,431,9,NORTE,20,
432,COVERTURA PARCIAL,GRANDE,532419,432,15,ESTE,26,
433,COVERTURA TOTAL,COLONIAL,516151,433,7,SUR,4,
434,COVERTURA TOTAL,COLONIAL,400108,434,6,SUR,14,
435,COVERTURA TOTAL,ESPACIOS AMPLIOS,487198,435,6,ESTE,7,
436,COVERTURA PARCIAL,ACABADOS EN MADERA,120244,436,8,ESTE,25,
437,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,479662,437,18,OESTE,17,
438,COVERTURA TOTAL,CERCA AL TRANSPORTE PUBLICO,329652,438,7,ESTE,45,
439,COVERTURA TOTAL,VISTA A LA MONTAÑA,302953,439,2,NORTE,22,
440,COVERTURA TOTAL,ACABADOS EN MADERA,556769,440,7,NORTE,24,
441,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,559299,441,5,SUR,28,
442,COVERTURA TOTAL,ACABADOS EN MADERA,428727,442,11,SUR,28,
443,COVERTURA PARCIAL,ESPACIOS AMPLIOS,565397,443,13,OESTE,5,
444,COVERTURA PARCIAL,ACABADOS EN MADERA,544644,444,16,SUR,8,
445,COVERTURA PARCIAL,ESPACIOS AMPLIOS,454461,445,15,ESTE,28,
446,COVERTURA TOTAL,ACABADOS EN MADERA,560836,446,3,NORTE,10,
447,COVERTURA TOTAL,GRANDE,209688,447,16,NORTE,33,
448,COVERTURA PARCIAL,GRANDE,604896,448,1,SUR,26,
449,COVERTURA PARCIAL,GRANDE,635592,449,13,OESTE,15,
450,COVERTURA TOTAL,COLONIAL,686902,450,6,OESTE,40,
451,COVERTURA PARCIAL,VISTA A LA MONTAÑA,639405,451,12,ESTE,20,
452,COVERTURA TOTAL,GRANDE,525487,452,16,OESTE,35,
453,COVERTURA PARCIAL,ESPACIOS AMPLIOS,693691,453,16,NORTE,31,
454,COVERTURA PARCIAL,CERCA AL TRANSPORTE PUBLICO,470702,454,17,SUR,31,
