ID_OFERTA,NUM_RESERVAS,ID_HOSTAL,ID_HOTEL,ID_VIVIENDAU,ID_PERSONA,VIGENTE
0,0,,NULL,NULL,85,NULL,T
1,0,,45,NULL,NULL,NULL,T
2,0,,15,NULL,NULL,NULL,T
3,0,,NULL,50,NULL,NULL,T
4,0,,8,NULL,NULL,NULL,T
5,0,,48,NULL,NULL,NULL,T
6,0,,NULL,57,NULL,NULL,T
7,0,T
8,0,,NULL,13,NULL,NULL,T
9,0,,NULL,NULL,128,NULL,F
10,0,,35,NULL,NULL,NULL,F
11,0,,NULL,30,NULL,NULL,T
12,0,,31,NULL,NULL,NULL,F
13,0,,46,NULL,NULL,NULL,T
14,0,,48,NULL,NULL,NULL,T
15,0,,40,NULL,NULL,NULL,F
16,0,,NULL,18,NULL,NULL,F
17,0,,65,NULL,NULL,NULL,F
18,0,,28,NULL,NULL,NULL,T
19,0,,NULL,51,NULL,NULL,F
20,0,,28,NULL,NULL,NULL,F
21,0,,8,NULL,NULL,NULL,F
22,0,,38,NULL,NULL,NULL,F
23,0,,32,NULL,NULL,NULL,T
24,0,,36,NULL,NULL,NULL,F
25,0,,41,NULL,NULL,NULL,T
26,0,,NULL,NULL,NULL,,51F
27,0,,NULL,54,NULL,NULL,F
28,0,,NULL,NULL,239,NULL,F
29,0,,25,NULL,NULL,NULL,T
30,0,,NULL,10,NULL,NULL,F
31,0,,33,NULL,NULL,NULL,T
32,0,,13,NULL,NULL,NULL,T
33,0,,NULL,8,NULL,NULL,F
34,0,,NULL,53,NULL,NULL,F
35,0,,7,NULL,NULL,NULL,T
36,0,,NULL,53,NULL,NULL,T
37,0,,NULL,NULL,149,NULL,T
38,0,,53,NULL,NULL,NULL,F
39,0,,NULL,41,NULL,NULL,F
40,0,,NULL,5,NULL,NULL,T
41,0,,65,NULL,NULL,NULL,F
42,0,,14,NULL,NULL,NULL,F
43,0,,22,NULL,NULL,NULL,F
44,0,,80,NULL,NULL,NULL,T
45,0,F
46,0,,NULL,8,NULL,NULL,F
47,0,T
48,0,,56,NULL,NULL,NULL,T
49,0,,NULL,38,NULL,NULL,T
50,0,,27,NULL,NULL,NULL,F
51,0,,NULL,20,NULL,NULL,T
52,0,,NULL,NULL,90,NULL,F
53,0,,NULL,NULL,NULL,,165T
54,0,,16,NULL,NULL,NULL,F
55,0,,42,NULL,NULL,NULL,F
56,0,,28,NULL,NULL,NULL,T
57,0,,27,NULL,NULL,NULL,T
58,0,,NULL,9,NULL,NULL,F
59,0,,33,NULL,NULL,NULL,T
60,0,,22,NULL,NULL,NULL,F
61,0,T
62,0,T
63,0,,NULL,56,NULL,NULL,T
64,0,,NULL,NULL,115,NULL,F
65,0,,NULL,34,NULL,NULL,T
66,0,T
67,0,,31,NULL,NULL,NULL,F
68,0,,44,NULL,NULL,NULL,F
69,0,,NULL,47,NULL,NULL,F
70,0,,7,NULL,NULL,NULL,F
71,0,,NULL,NULL,27,NULL,T
72,0,,NULL,17,NULL,NULL,F
73,0,,5,NULL,NULL,NULL,F
74,0,,NULL,39,NULL,NULL,F
75,0,,3,NULL,NULL,NULL,T
76,0,,NULL,20,NULL,NULL,T
77,0,,64,NULL,NULL,NULL,F
78,0,,NULL,37,NULL,NULL,T
79,0,,NULL,15,NULL,NULL,F
80,0,,0,NULL,NULL,NULL,F
81,0,,NULL,NULL,48,NULL,F
82,0,,23,NULL,NULL,NULL,T
83,0,,22,NULL,NULL,NULL,T
84,0,F
85,0,,NULL,NULL,122,NULL,F
86,0,,NULL,NULL,59,NULL,T
87,0,,39,NULL,NULL,NULL,F
88,0,,3,NULL,NULL,NULL,F
89,0,,NULL,NULL,NULL,,146F
90,0,,NULL,NULL,106,NULL,F
91,0,,45,NULL,NULL,NULL,T
92,0,F
93,0,,NULL,14,NULL,NULL,T
94,0,,NULL,25,NULL,NULL,F
95,0,,30,NULL,NULL,NULL,T
96,0,,8,NULL,NULL,NULL,F
97,0,,NULL,41,NULL,NULL,F
98,0,,5,NULL,NULL,NULL,F
99,0,,10,NULL,NULL,NULL,T
100,0,,24,NULL,NULL,NULL,F
101,0,,NULL,NULL,NULL,,56T
102,0,F
103,0,,NULL,53,NULL,NULL,F
104,0,,25,NULL,NULL,NULL,T
105,0,,14,NULL,NULL,NULL,F
106,0,,NULL,NULL,NULL,,344T
107,0,,30,NULL,NULL,NULL,F
108,0,,46,NULL,NULL,NULL,T
109,0,T
110,0,,27,NULL,NULL,NULL,T
111,0,,17,NULL,NULL,NULL,T
112,0,,0,NULL,NULL,NULL,T
113,0,,31,NULL,NULL,NULL,F
114,0,,35,NULL,NULL,NULL,T
115,0,,NULL,NULL,379,NULL,F
116,0,,44,NULL,NULL,NULL,T
117,0,,NULL,54,NULL,NULL,F
118,0,,19,NULL,NULL,NULL,F
119,0,,65,NULL,NULL,NULL,F
120,0,,70,NULL,NULL,NULL,T
121,0,,NULL,NULL,NULL,,371T
122,0,,60,NULL,NULL,NULL,F
123,0,,5,NULL,NULL,NULL,T
124,0,,NULL,19,NULL,NULL,T
125,0,,4,NULL,NULL,NULL,T
126,0,,NULL,NULL,151,NULL,F
127,0,,NULL,NULL,NULL,,178T
128,0,,41,NULL,NULL,NULL,F
129,0,,44,NULL,NULL,NULL,F
130,0,,NULL,19,NULL,NULL,F
131,0,,26,NULL,NULL,NULL,T
132,0,,NULL,16,NULL,NULL,F
133,0,,NULL,NULL,120,NULL,F
134,0,,NULL,NULL,NULL,,353F
135,0,,NULL,NULL,104,NULL,T
136,0,,NULL,38,NULL,NULL,F
137,0,,38,NULL,NULL,NULL,T
138,0,,NULL,NULL,NULL,,230T
139,0,,74,NULL,NULL,NULL,T
140,0,,NULL,NULL,245,NULL,T
141,0,,65,NULL,NULL,NULL,F
142,0,,69,NULL,NULL,NULL,F
143,0,,32,NULL,NULL,NULL,T
144,0,,46,NULL,NULL,NULL,F
145,0,,58,NULL,NULL,NULL,T
146,0,,NULL,NULL,129,NULL,F
147,0,,NULL,24,NULL,NULL,F
148,0,,NULL,NULL,205,NULL,F
149,0,F
150,0,,28,NULL,NULL,NULL,F
151,0,,NULL,NULL,198,NULL,T
152,0,T
153,0,,49,NULL,NULL,NULL,T
154,0,,56,NULL,NULL,NULL,F
155,0,,24,NULL,NULL,NULL,F
156,0,T
157,0,,44,NULL,NULL,NULL,T
158,0,,33,NULL,NULL,NULL,T
159,0,,67,NULL,NULL,NULL,T
160,0,,NULL,27,NULL,NULL,T
161,0,,57,NULL,NULL,NULL,F
162,0,,46,NULL,NULL,NULL,T
163,0,,64,NULL,NULL,NULL,F
164,0,,12,NULL,NULL,NULL,T
165,0,,NULL,NULL,178,NULL,T
166,0,,54,NULL,NULL,NULL,T
167,0,,NULL,NULL,80,NULL,T
168,0,,36,NULL,NULL,NULL,F
169,0,,19,NULL,NULL,NULL,T
170,0,,71,NULL,NULL,NULL,T
171,0,,NULL,9,NULL,NULL,F
172,0,,NULL,35,NULL,NULL,F
173,0,F
174,0,,NULL,34,NULL,NULL,T
175,0,,NULL,NULL,288,NULL,T
176,0,,43,NULL,NULL,NULL,T
177,0,,NULL,38,NULL,NULL,F
178,0,,7,NULL,NULL,NULL,T
179,0,,26,NULL,NULL,NULL,T
180,0,,57,NULL,NULL,NULL,T
181,0,,50,NULL,NULL,NULL,F
182,0,,3,NULL,NULL,NULL,T
183,0,,66,NULL,NULL,NULL,T
184,0,F
185,0,F
186,0,,33,NULL,NULL,NULL,F
187,0,,NULL,NULL,48,NULL,T
188,0,,35,NULL,NULL,NULL,T
189,0,,NULL,53,NULL,NULL,F
190,0,,23,NULL,NULL,NULL,T
191,0,,10,NULL,NULL,NULL,F
192,0,,51,NULL,NULL,NULL,T
193,0,,NULL,29,NULL,NULL,F
194,0,,NULL,NULL,169,NULL,T
195,0,,12,NULL,NULL,NULL,F
196,0,,NULL,34,NULL,NULL,T
197,0,,12,NULL,NULL,NULL,F
198,0,,NULL,43,NULL,NULL,F
199,0,,27,NULL,NULL,NULL,T
200,0,,37,NULL,NULL,NULL,F
201,0,,26,NULL,NULL,NULL,F
202,0,,7,NULL,NULL,NULL,F
203,0,F
204,0,,37,NULL,NULL,NULL,F
205,0,,NULL,18,NULL,NULL,F
206,0,,40,NULL,NULL,NULL,F
207,0,,NULL,54,NULL,NULL,T
208,0,,NULL,20,NULL,NULL,F
209,0,,53,NULL,NULL,NULL,T
210,0,,38,NULL,NULL,NULL,T
211,0,,19,NULL,NULL,NULL,F
212,0,,NULL,NULL,239,NULL,F
213,0,,35,NULL,NULL,NULL,F
214,0,,22,NULL,NULL,NULL,T
215,0,,NULL,NULL,196,NULL,F
216,0,,50,NULL,NULL,NULL,T
217,0,,NULL,12,NULL,NULL,T
218,0,,NULL,45,NULL,NULL,F
219,0,T
220,0,,NULL,42,NULL,NULL,T
221,0,,NULL,NULL,49,NULL,F
222,0,,45,NULL,NULL,NULL,T
223,0,,45,NULL,NULL,NULL,T
224,0,,57,NULL,NULL,NULL,F
225,0,,17,NULL,NULL,NULL,T
226,0,,NULL,44,NULL,NULL,F
227,0,,42,NULL,NULL,NULL,T
228,0,,NULL,NULL,263,NULL,F
229,0,,74,NULL,NULL,NULL,F
230,0,,46,NULL,NULL,NULL,T
231,0,,55,NULL,NULL,NULL,T
232,0,,NULL,NULL,121,NULL,T
233,0,,NULL,18,NULL,NULL,F
234,0,,48,NULL,NULL,NULL,F
235,0,,NULL,NULL,NULL,,182T
236,0,T
237,0,,63,NULL,NULL,NULL,F
238,0,,NULL,30,NULL,NULL,T
239,0,,NULL,20,NULL,NULL,T
240,0,,72,NULL,NULL,NULL,T
241,0,,NULL,0,NULL,NULL,T
242,0,,NULL,NULL,94,NULL,T
243,0,,48,NULL,NULL,NULL,T
244,0,,NULL,18,NULL,NULL,T
245,0,,NULL,NULL,335,NULL,T
246,0,,39,NULL,NULL,NULL,T
247,0,,4,NULL,NULL,NULL,T
248,0,,NULL,46,NULL,NULL,F
249,0,,NULL,34,NULL,NULL,T
250,0,,62,NULL,NULL,NULL,T
251,0,,21,NULL,NULL,NULL,T
252,0,,NULL,NULL,224,NULL,T
253,0,,NULL,NULL,154,NULL,T
254,0,,54,NULL,NULL,NULL,F
255,0,,NULL,14,NULL,NULL,T
256,0,,NULL,32,NULL,NULL,T
257,0,,52,NULL,NULL,NULL,F
258,0,,53,NULL,NULL,NULL,T
259,0,,32,NULL,NULL,NULL,F
260,0,,16,NULL,NULL,NULL,T
261,0,,NULL,0,NULL,NULL,T
262,0,,4,NULL,NULL,NULL,T
263,0,,64,NULL,NULL,NULL,F
264,0,,NULL,NULL,247,NULL,F
265,0,,NULL,NULL,347,NULL,T
266,0,,NULL,13,NULL,NULL,F
267,0,,NULL,NULL,310,NULL,F
268,0,,NULL,4,NULL,NULL,F
269,0,,21,NULL,NULL,NULL,F
270,0,,NULL,NULL,213,NULL,T
